file,num_fields,chart_type,transform_types,cluster,chart_type_10,transform_types_10
area_density_stacked_fold.vl.json,3,1,100000,1,1,32
area_vertical.vl.json,2,1000000,100000,1,64,32
bar_axis_space_saving.vl.json,1,100000,100000,2,32,32
bar_count_minimap.vl.json,0,1,100000,2,1,32
bar_grouped_errorbar.vl.json,2,1,100000,1,1,32
bar_grouped_errorbar_normalized.vl.json,0,1,100000,2,1,32
bar_grouped_stacked.vl.json,4,1,100000,4,1,32
bar_grouped_timeunit_yearweek.vl.json,2,1,1,0,1,1
bar_group_timeunit.vl.json,2,1,100000,1,1,32
bar_size_default.vl.json,1,1,100000,2,1,32
bar_size_fit.vl.json,1,1,100000,2,1,32
bar_sort_by_count.vl.json,1,1,100000,2,1,32
brush_table.vl.json,0,1,100000,2,1,32
circle.vl.json,2,1,100000,1,1,32
errorband_2d_vertical_borders_normalized.vl.json,0,1,10000,2,1,16
errorband_tooltip.vl.json,2,1,100000,1,1,32
errorbar_2d_vertical_ticks.vl.json,2,1000,100000,1,8,32
facet_row_facet_row_point_future.vl.json,0,1,100000,2,1,32
interactive_paintbrush_color.vl.json,2,1,100000,1,1,32
interactive_paintbrush_color_nearest.vl.json,2,1,100000,1,1,32
interactive_paintbrush_interval.vl.json,2,1,100000,1,1,32
interactive_point_init.vl.json,2,1,100000,1,1,32
interactive_query_widgets.vl.json,0,1,100000,2,1,32
interactive_splom.vl.json,0,1,100000,2,1,32
layer_circle_independent_color.vl.json,0,1,100000,2,1,32
layer_line_errorband_ci.vl.json,1,1,100000,2,1,32
layer_overlay.vl.json,0,1,100000,2,1,32
layer_rect_extent.vl.json,0,1,100000,2,1,32
layer_scatter_errorband_1d_stdev.vl.json,0,1,100000,2,1,32
layer_text_heatmap.vl.json,2,1,10000,0,1,16
layer_text_heatmap_joinaggregate.vl.json,2,1,1000,0,1,8
line_color_binned.vl (1).json,3,1,100000,1,1,32
line_color_binned.vl.json,3,1,100000,1,1,32
point_2d_config_no_zero.vl.json,2,1,100000,1,1,32
point_2d_tooltip_data.vl.json,2,100,100000,1,4,32
point_background.vl.json,2,1,100000,1,1,32
point_binned_color.vl,3,1,100000,1,1,32
point_color.vl.json,3,1,100000,1,1,32
point_colorramp_size.vl.json,3,1,100000,1,1,32
point_color_custom.vl.json,3,1,100000,1,1,32
point_color_quantitative.vl.json,3,1,100000,1,1,32
point_color_shape_constant.vl.json,2,1,100000,1,1,32
point_filled.vl.json,2,100,100000,1,4,32
point_href.vl.json,5,1,100000,3,1,32
point_tooltip.vl.json,3,1,100000,1,1,32
rect_heatmap.vl.json,3,1,100000,1,1,32
rect_mosaic_labelled.vl.json,0,1,100,2,1,4
rect_mosaic_labelled_with_offset.vl.json,0,1,10,2,1,2
rect_mosaic_simple.vl.json,6,10,100,3,2,4
selection_bind_cylyr.vl.json,2,1,100000,1,1,32
selection_bind_origin.vl.json,2,1,100000,1,1,32
selection_clear_brush.vl.json,2,1,100000,1,1,32
selection_composition_or.vl.json,2,1,100000,1,1,32
selection_insert.vl.json,2,1,100000,1,1,32
selection_project_interval.vl.json,2,1,100000,1,1,32
selection_project_multi.vl.json,2,1,100000,1,1,32
selection_project_multi_origin.vl.json,2,1,100000,1,1,32
selection_project_single.vl.json,2,1,100000,1,1,32
selection_project_single_cylinders.vl.json,2,1,100000,1,1,32
selection_project_single_cylinders_origin.vl.json,2,1,100000,1,1,32
selection_project_single_origin.vl.json,2,1,100000,1,1,32
selection_resolution_global.vl.json,0,1,100000,2,1,32
selection_resolution_union.vl.json,0,1,100000,2,1,32
selection_resolution_union_normalized.vl.json,0,1,100000,2,1,32
selection_toggle_altKey.vl.json,2,1,100000,1,1,32
selection_toggle_altKey_shiftKey.vl.json,2,1,100000,1,1,32
selection_toggle_shiftKey.vl.json,2,1,100000,1,1,32
selection_translate_scatterplot_shift-drag.vl.json,3,1,100000,1,1,32
selection_type_interval.vl.json,2,1,100000,1,1,32
selection_type_point.vl.json,2,1,100000,1,1,32
selection_type_point_zorder.vl.json,2,10000,100000,4,16,32
selection_type_single_dblclick.vl.json,2,1,100000,1,1,32
selection_zoom_brush_shift-wheel.vl.json,3,10000,100000,4,16,32
selection_zoom_brush_wheel.vl.json,3,10000,100000,4,16,32
stacked_area_ordinal.vl.json,3,1000000,100000,4,64,32
stacked_bar_1d.vl.json,2,1,100000,1,1,32
text_scatterplot_colored.vl.json,4,1,100000,4,1,32
tick_dot_thickness.vl.json,1,1,100000,2,1,32
tick_sort.vl.json,1,1,100000,2,1,32
tick_strip.vl.json,2,1,100000,1,1,32
trellis_bar_histogram.vl.json,2,1,100000,1,1,32
